price,location,area,property_age,bedrooms,bathrooms,furnishing,parking,air_conditioning,main_road
28907794,Pune,2592,1,1,3,Fully Furnished,1,No,No
20133674,Nashik,2838,14,3,2,Fully Furnished,2,No,Yes
11667716,Nashik,2092,26,1,2,Semi-Furnished,0,No,No
6118475,Solapur,1350,3,1,2,Unfurnished,1,No,No
64284539,Mumbai,2257,9,2,1,Semi-Furnished,0,Yes,No
7958296,Nashik,1214,23,4,1,Semi-Furnished,2,No,Yes
18610013,Nashik,2494,1,4,1,Unfurnished,2,Yes,Yes
8441677,Kolhapur,1193,4,3,3,Semi-Furnished,2,No,Yes
15137068,Nagpur,2265,5,4,2,Fully Furnished,2,No,No
51759747,Thane,2843,17,2,1,Semi-Furnished,0,Yes,Yes
59267750,Mumbai,2039,11,4,3,Unfurnished,0,No,Yes
13600140,Pune,1003,8,3,2,Semi-Furnished,1,No,No
2842054,Aurangabad,450,21,1,2,Fully Furnished,2,No,Yes
12349339,Nagpur,2045,22,4,2,Fully Furnished,0,No,Yes
12281116,Kolhapur,2254,14,2,3,Unfurnished,0,Yes,No
2630161,Solapur,601,25,4,1,Unfurnished,0,Yes,No
5606784,Kolhapur,974,25,4,1,Semi-Furnished,2,No,Yes
6018754,Kolhapur,874,16,2,3,Semi-Furnished,2,Yes,Yes
6653047,Aurangabad,1354,23,4,3,Fully Furnished,0,No,No
9715354,Solapur,2279,28,1,1,Semi-Furnished,2,Yes,Yes
7585530,Nashik,1402,27,2,2,Unfurnished,1,No,No
19074347,Pune,1507,19,1,1,Semi-Furnished,1,Yes,Yes
6155756,Nashik,741,6,4,3,Semi-Furnished,0,Yes,No
47823611,Thane,2882,31,3,3,Unfurnished,1,Yes,No
49434002,Thane,2732,28,1,1,Fully Furnished,1,No,No
8356958,Kolhapur,1168,1,2,3,Semi-Furnished,1,Yes,Yes
6919412,Aurangabad,1387,29,1,2,Semi-Furnished,1,Yes,Yes
2870802,Nagpur,454,31,3,3,Fully Furnished,1,No,No
12358331,Nashik,1881,33,3,2,Fully Furnished,0,Yes,Yes
7077472,Solapur,1232,2,1,3,Unfurnished,2,Yes,No
19376494,Nashik,2890,7,3,1,Unfurnished,1,No,Yes
8804625,Nagpur,1687,31,2,3,Fully Furnished,1,No,Yes
8319861,Solapur,1711,15,4,2,Semi-Furnished,0,Yes,No
8003193,Aurangabad,1222,6,4,2,Fully Furnished,1,No,Yes
23538295,Thane,1174,20,1,3,Fully Furnished,2,Yes,No
69707152,Mumbai,2320,19,3,1,Fully Furnished,2,Yes,Yes
7509098,Solapur,1145,2,3,2,Unfurnished,2,Yes,Yes
5527596,Kolhapur,1304,34,2,1,Fully Furnished,1,No,No
53578813,Mumbai,1787,9,4,1,Unfurnished,1,No,No
15771549,Mumbai,527,16,4,1,Unfurnished,1,No,Yes
6576947,Nashik,920,24,4,2,Unfurnished,2,Yes,No
33568976,Pune,2941,28,4,2,Fully Furnished,0,No,No
15021811,Pune,1204,17,3,2,Unfurnished,0,Yes,No
31432136,Pune,2481,24,1,1,Unfurnished,1,No,Yes
9116048,Aurangabad,1801,21,4,3,Unfurnished,0,No,No
7450015,Nagpur,1130,11,4,2,Semi-Furnished,0,No,Yes
15298661,Nashik,2440,9,1,3,Semi-Furnished,0,Yes,No
6675077,Solapur,1101,1,2,2,Semi-Furnished,1,Yes,No
8982100,Nagpur,1786,25,1,3,Fully Furnished,0,No,No
6395272,Solapur,1536,34,3,3,Semi-Furnished,1,Yes,No
3942158,Nashik,497,23,3,3,Semi-Furnished,1,No,Yes
13896331,Nashik,2185,19,4,3,Semi-Furnished,2,Yes,No
12021902,Kolhapur,2162,16,4,3,Fully Furnished,1,No,Yes
14824022,Kolhapur,2520,0,1,1,Unfurnished,0,Yes,Yes
6484588,Pune,460,24,3,2,Unfurnished,2,No,Yes
26352717,Thane,1440,11,2,1,Fully Furnished,1,No,Yes
4345060,Nagpur,615,20,3,3,Unfurnished,0,No,Yes
7006555,Kolhapur,1109,17,4,1,Semi-Furnished,0,Yes,Yes
10670390,Nashik,1691,25,3,3,Unfurnished,0,Yes,No
10610451,Solapur,2217,6,1,2,Semi-Furnished,1,No,Yes
4144587,Solapur,734,8,1,3,Semi-Furnished,2,No,No
7812437,Aurangabad,1389,34,4,3,Semi-Furnished,1,No,Yes
32148619,Thane,1866,16,2,3,Semi-Furnished,1,Yes,No
14071909,Kolhapur,2635,2,1,2,Fully Furnished,0,No,No
20471767,Pune,1594,22,4,2,Semi-Furnished,2,No,No
29929863,Thane,1772,12,2,1,Semi-Furnished,1,Yes,Yes
6502228,Pune,415,1,1,2,Unfurnished,2,No,Yes
4450571,Nagpur,650,12,3,1,Unfurnished,1,Yes,No
11037623,Kolhapur,2031,28,3,3,Unfurnished,1,No,No
13869814,Nashik,2171,9,3,1,Semi-Furnished,1,Yes,No
6299554,Kolhapur,1320,19,3,3,Semi-Furnished,0,No,No
68048643,Mumbai,2433,24,4,2,Fully Furnished,0,Yes,No
10305494,Solapur,2398,23,1,3,Unfurnished,2,No,Yes
9860443,Aurangabad,1863,23,3,2,Semi-Furnished,2,No,Yes
9296734,Nashik,1485,24,1,2,Semi-Furnished,2,No,Yes
10106877,Nashik,1284,9,3,1,Fully Furnished,2,Yes,Yes
12852818,Thane,625,2,1,2,Fully Furnished,1,No,No
4545304,Solapur,1126,34,1,1,Fully Furnished,1,No,Yes
39359061,Thane,2176,34,1,3,Fully Furnished,1,Yes,No
12734082,Mumbai,402,12,4,3,Unfurnished,0,No,Yes
68898555,Mumbai,2430,3,1,1,Fully Furnished,1,Yes,No
26404986,Thane,1351,27,3,3,Fully Furnished,0,Yes,No
30829629,Thane,1618,11,1,2,Semi-Furnished,1,No,Yes
23757011,Pune,1818,23,3,2,Unfurnished,2,No,Yes
4586485,Nagpur,437,4,4,3,Unfurnished,1,Yes,No
13672526,Nashik,2111,12,1,1,Fully Furnished,0,Yes,Yes
8288856,Kolhapur,1537,31,4,1,Unfurnished,1,Yes,Yes
10420771,Aurangabad,1991,26,4,2,Semi-Furnished,0,No,No
10248025,Kolhapur,2172,23,1,2,Unfurnished,2,Yes,No
12566410,Nagpur,2104,24,1,3,Fully Furnished,0,Yes,Yes
9291147,Nagpur,1593,26,4,3,Unfurnished,1,No,No
4642870,Aurangabad,956,30,2,1,Fully Furnished,2,No,No
10245443,Pune,825,29,2,3,Unfurnished,2,Yes,No
5675736,Solapur,988,1,1,3,Fully Furnished,0,Yes,No
57813440,Mumbai,2090,16,1,1,Unfurnished,2,No,No
13273530,Solapur,2914,9,2,3,Semi-Furnished,0,No,No
6957940,Solapur,1647,27,2,3,Unfurnished,2,No,No
8452185,Solapur,1665,16,4,3,Semi-Furnished,1,No,No
16703151,Nagpur,2848,0,2,2,Semi-Furnished,1,No,No
17750709,Nashik,2753,28,2,3,Fully Furnished,2,Yes,Yes
50558759,Mumbai,1650,11,4,1,Fully Furnished,2,No,No
51405993,Thane,2906,25,2,3,Unfurnished,1,No,Yes
9906646,Solapur,1853,3,2,1,Fully Furnished,0,No,Yes
8857433,Aurangabad,1498,13,4,2,Unfurnished,1,Yes,No
9883049,Aurangabad,1962,27,3,1,Semi-Furnished,0,No,Yes
5072173,Nagpur,483,4,2,3,Fully Furnished,2,No,Yes
50995813,Mumbai,1930,14,1,2,Unfurnished,1,Yes,No
10609088,Solapur,1694,7,4,3,Fully Furnished,1,Yes,Yes
9822765,Nashik,1384,7,1,1,Unfurnished,2,Yes,No
12219297,Aurangabad,2646,23,3,1,Fully Furnished,1,Yes,No
6953980,Nashik,926,13,1,2,Semi-Furnished,2,Yes,Yes
25107745,Pune,2163,21,1,2,Fully Furnished,1,No,No
59007516,Thane,2948,23,1,2,Semi-Furnished,2,Yes,Yes
21023292,Mumbai,737,30,2,3,Fully Furnished,1,Yes,Yes
11197584,Aurangabad,1967,24,3,1,Fully Furnished,0,Yes,Yes
57084723,Mumbai,1976,31,1,1,Unfurnished,2,No,Yes
17324457,Thane,991,27,2,2,Unfurnished,0,Yes,No
11660654,Aurangabad,2443,32,1,2,Semi-Furnished,0,No,Yes
11979805,Nashik,2168,32,1,2,Unfurnished,0,Yes,No
14138467,Nagpur,2641,25,2,3,Semi-Furnished,1,No,No
77360810,Mumbai,2569,33,2,3,Semi-Furnished,1,Yes,Yes
14027351,Nagpur,2325,8,1,2,Unfurnished,2,No,No
52684526,Thane,2670,11,4,1,Semi-Furnished,1,Yes,No
16519445,Mumbai,510,6,3,3,Semi-Furnished,2,No,No
7548282,Kolhapur,1507,21,4,2,Unfurnished,1,No,No
37179136,Mumbai,1273,17,2,3,Fully Furnished,1,Yes,Yes
28648451,Pune,2534,24,4,1,Unfurnished,0,Yes,Yes
9289185,Nashik,1149,7,4,1,Semi-Furnished,0,Yes,Yes
48847201,Thane,2756,17,3,3,Semi-Furnished,1,Yes,Yes
14971449,Thane,711,2,1,3,Semi-Furnished,1,No,Yes
21926252,Thane,1154,28,3,1,Unfurnished,1,No,Yes
6330754,Pune,558,23,2,1,Semi-Furnished,0,No,No
17322243,Thane,915,19,4,2,Unfurnished,1,No,No
35857941,Pune,2867,33,2,1,Semi-Furnished,1,No,Yes
36965421,Pune,2782,11,2,2,Unfurnished,2,Yes,No
6403979,Solapur,1193,22,4,2,Fully Furnished,1,No,No
9044177,Nashik,1339,1,2,2,Unfurnished,2,No,No
6235400,Aurangabad,952,13,2,2,Fully Furnished,2,No,Yes
11881873,Solapur,2408,5,4,2,Semi-Furnished,0,No,No
14561495,Aurangabad,2513,4,3,1,Fully Furnished,2,Yes,No
12936224,Nashik,1872,22,4,1,Semi-Furnished,2,Yes,Yes
5530913,Aurangabad,1029,28,2,2,Semi-Furnished,1,Yes,Yes
7399852,Kolhapur,1261,4,1,1,Fully Furnished,2,Yes,Yes
11804208,Aurangabad,2356,11,3,1,Semi-Furnished,0,Yes,No
15492704,Nagpur,2752,14,1,3,Unfurnished,1,Yes,No
11921995,Solapur,2781,19,2,1,Fully Furnished,1,No,No
71441115,Mumbai,2566,4,3,2,Unfurnished,0,Yes,Yes
5106171,Solapur,889,23,4,1,Semi-Furnished,2,Yes,Yes
1852474,Nagpur,525,28,2,1,Unfurnished,0,No,No
17240308,Nagpur,2874,19,2,3,Semi-Furnished,2,Yes,No
17867152,Nashik,2831,15,2,1,Semi-Furnished,1,No,No
42036787,Thane,2433,7,1,1,Fully Furnished,0,No,No
9334138,Aurangabad,1781,21,1,3,Unfurnished,2,No,No
18060795,Nashik,2874,17,2,2,Unfurnished,0,No,Yes
6616723,Nashik,702,11,4,1,Fully Furnished,2,Yes,Yes
51266216,Mumbai,1710,4,4,2,Fully Furnished,0,No,Yes
19616703,Pune,1409,8,4,2,Semi-Furnished,0,No,Yes
5528939,Solapur,888,3,3,2,Semi-Furnished,1,Yes,No
2925812,Aurangabad,418,17,2,2,Fully Furnished,0,No,Yes
9091943,Solapur,1754,6,1,2,Fully Furnished,0,Yes,No
28916100,Mumbai,1110,18,3,1,Semi-Furnished,0,No,No
15864517,Nagpur,2738,25,4,2,Semi-Furnished,2,Yes,No
39404179,Mumbai,1361,2,2,1,Fully Furnished,0,No,No
85981184,Mumbai,2901,28,4,1,Semi-Furnished,1,No,No
6405599,Nashik,1064,33,4,1,Semi-Furnished,0,No,Yes
5098320,Nashik,442,5,4,3,Fully Furnished,1,Yes,Yes
14975260,Solapur,2945,20,4,3,Semi-Furnished,2,Yes,Yes
11043085,Nashik,1547,10,3,1,Semi-Furnished,2,Yes,Yes
8601488,Pune,723,21,1,1,Unfurnished,2,Yes,No
5354857,Nashik,772,26,4,2,Semi-Furnished,0,Yes,Yes
7963138,Kolhapur,1579,29,3,2,Fully Furnished,1,No,No
13283359,Kolhapur,2537,10,1,2,Semi-Furnished,2,No,Yes
18934719,Pune,1462,6,1,3,Unfurnished,2,Yes,No
15073887,Aurangabad,2745,6,4,2,Semi-Furnished,1,No,Yes
10498328,Aurangabad,1808,12,4,1,Semi-Furnished,2,No,No
12102022,Nashik,1643,8,1,2,Unfurnished,2,No,Yes
6574777,Pune,409,7,4,2,Semi-Furnished,0,No,No
4467275,Nagpur,449,9,4,3,Fully Furnished,0,No,Yes
3006222,Kolhapur,545,32,3,2,Fully Furnished,2,Yes,No
5515132,Nagpur,882,32,4,2,Fully Furnished,2,No,No
15347656,Pune,1061,14,4,1,Semi-Furnished,2,Yes,Yes
8300072,Nashik,1049,12,1,2,Fully Furnished,0,Yes,Yes
12754136,Pune,840,1,2,1,Semi-Furnished,2,Yes,No
59113560,Mumbai,1977,10,2,1,Semi-Furnished,2,Yes,No
15467541,Pune,1099,3,2,3,Semi-Furnished,1,Yes,No
7470439,Kolhapur,1405,32,4,1,Semi-Furnished,2,Yes,Yes
3162042,Solapur,472,5,4,1,Semi-Furnished,0,No,No
17939956,Pune,1355,31,1,3,Semi-Furnished,0,Yes,Yes
11327407,Solapur,2135,2,2,3,Unfurnished,1,Yes,Yes
17540774,Aurangabad,2801,7,3,2,Fully Furnished,1,No,Yes
11156087,Nagpur,1865,12,4,1,Fully Furnished,0,Yes,No
2588373,Solapur,607,29,2,2,Unfurnished,0,Yes,Yes
43427176,Thane,2502,15,4,1,Unfurnished,2,No,No
9765030,Kolhapur,1940,29,4,1,Semi-Furnished,0,Yes,Yes
7113858,Solapur,1507,17,2,2,Unfurnished,2,Yes,No
17283011,Nagpur,2907,13,2,2,Semi-Furnished,0,No,No
11454997,Nagpur,2086,1,2,1,Unfurnished,0,No,Yes
8680007,Aurangabad,1603,25,2,3,Semi-Furnished,1,Yes,No
14228437,Thane,710,21,2,3,Unfurnished,2,No,No
13304398,Thane,643,17,2,3,Unfurnished,0,No,Yes
64058353,Mumbai,2226,29,2,2,Fully Furnished,1,No,No
9519072,Nashik,1347,14,2,1,Fully Furnished,0,Yes,Yes
3963305,Kolhapur,529,13,3,2,Fully Furnished,1,No,No
5872143,Nagpur,1192,32,1,2,Unfurnished,2,No,No
38957746,Thane,2205,15,1,2,Unfurnished,1,Yes,No
85349317,Mumbai,2930,24,1,2,Semi-Furnished,0,No,No
34878567,Pune,2929,33,4,1,Fully Furnished,0,No,No
10051309,Thane,527,30,4,1,Fully Furnished,1,Yes,No
38552325,Thane,2081,5,1,3,Unfurnished,0,No,Yes
17878366,Nagpur,2914,4,3,3,Unfurnished,2,No,Yes
65426645,Mumbai,2353,1,2,1,Fully Furnished,1,No,No
12049236,Nashik,1752,6,4,2,Semi-Furnished,0,Yes,No
10763232,Kolhapur,2195,28,3,1,Fully Furnished,1,Yes,Yes
24168817,Pune,1997,34,4,1,Unfurnished,2,Yes,Yes
16787473,Nagpur,2602,13,4,2,Semi-Furnished,2,Yes,No
5434505,Aurangabad,909,26,3,2,Semi-Furnished,0,Yes,Yes
14126614,Aurangabad,2693,20,2,3,Fully Furnished,1,Yes,Yes
16051931,Pune,1300,20,1,1,Fully Furnished,1,No,No
2570231,Solapur,641,17,1,1,Unfurnished,0,No,Yes
6050312,Aurangabad,896,20,4,3,Unfurnished,2,No,Yes
6654864,Solapur,1028,3,2,2,Semi-Furnished,1,Yes,Yes
4913449,Aurangabad,1143,28,3,1,Unfurnished,0,No,No
11867852,Kolhapur,2468,16,2,1,Unfurnished,0,Yes,No
3664080,Aurangabad,641,27,2,1,Semi-Furnished,2,Yes,Yes
14022091,Pune,1158,21,2,3,Semi-Furnished,0,No,Yes
24252495,Thane,1255,4,1,3,Fully Furnished,0,Yes,No
11563850,Solapur,2534,7,1,1,Unfurnished,0,No,Yes
4828677,Solapur,807,4,3,1,Unfurnished,0,Yes,No
4568851,Kolhapur,631,10,2,3,Fully Furnished,2,Yes,No
5603071,Aurangabad,1172,31,2,2,Semi-Furnished,1,Yes,Yes
10291589,Nagpur,1973,30,3,1,Semi-Furnished,0,No,No
18598183,Mumbai,616,9,2,3,Fully Furnished,0,Yes,No
6548392,Aurangabad,1051,12,3,2,Unfurnished,0,Yes,Yes
10601681,Nagpur,1649,14,3,2,Semi-Furnished,0,No,Yes
40051592,Mumbai,1335,8,2,3,Unfurnished,0,Yes,No
15910095,Nashik,2861,31,4,1,Unfurnished,2,Yes,Yes
4451680,Aurangabad,1085,34,1,1,Unfurnished,1,Yes,No
13471553,Solapur,2944,17,4,1,Semi-Furnished,0,Yes,No
28075846,Pune,2327,6,2,2,Semi-Furnished,2,No,Yes
5990435,Nagpur,997,24,2,3,Unfurnished,1,No,Yes
7134722,Nagpur,1169,14,1,1,Semi-Furnished,2,No,Yes
11864915,Nagpur,1830,21,4,1,Semi-Furnished,2,Yes,Yes
13433984,Solapur,2868,2,1,1,Fully Furnished,2,No,No
12064356,Nashik,1704,7,4,1,Fully Furnished,1,Yes,Yes
13970499,Kolhapur,2576,2,4,1,Semi-Furnished,0,Yes,Yes
62110191,Mumbai,2255,24,2,2,Fully Furnished,1,Yes,Yes
9582511,Aurangabad,1828,26,4,2,Fully Furnished,2,No,No
35440241,Thane,1816,25,4,2,Unfurnished,1,No,No
14103674,Nashik,2656,33,2,2,Semi-Furnished,0,No,No
27051988,Pune,2178,5,3,3,Fully Furnished,2,No,Yes
9242681,Aurangabad,1524,3,2,3,Unfurnished,1,Yes,No
10003267,Solapur,2228,20,2,1,Unfurnished,1,No,Yes
43554114,Thane,2485,19,2,1,Unfurnished,0,No,Yes
6753361,Nagpur,925,15,3,1,Fully Furnished,1,No,No
